PROPERTY,,Keystone Apartments,,,,,,,,,,,
ADDRESS,,151 Hallet Street,,,,,,,,,,,
INSPECTOR,,Nate Donnelly,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Friday, September 26, 2014",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
189,Heat Detector,4th Floor,Apartment 438,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-187
190,Horn Strobe,4th Floor,Apartment 438,TRUE,FALSE,FALSE,,,Pass,,,,Pass-188
191,Heat Detector,4th Floor,Apartment 445,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-189
192,Horn Strobe,4th Floor,Apartment 445 Entry,TRUE,FALSE,FALSE,,,Pass,,,,Pass-190
193,Ceiling Strobe,4th Floor,Apartment 445 Bathroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-191
194,Ceiling Horn Strobe,4th Floor,Apartment 445 Bedroom 1,TRUE,FALSE,FALSE,,,Pass,,,,Pass-192
195,Mini Horn,4th Floor,Apartment 445 Bedroom 2,TRUE,FALSE,FALSE,,,Pass,,,,Pass-193
196,Smoke Detector,4th Floor,Hall By Stair 4,TRUE,FALSE,FALSE,,,Pass,,,,Pass-194
197,Pull Station,4th Floor,Hall By Stair 4,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-195
198,Horn Strobe,4th Floor,Hall By Stair 4,TRUE,FALSE,FALSE,,,Pass,,,,Pass-196
199,Heat Detector,4th Floor,Apartment 446,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-197
200,Horn,4th Floor,Apartment 446,TRUE,FALSE,FALSE,,,Pass,,,,Pass-198
201,Heat Detector,4th Floor,Apartment 444,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-199
202,Horn,4th Floor,Apartment 444,TRUE,FALSE,FALSE,,,Pass,,,,Pass-200
203,Smoke Detector,4th Floor,Stair 4,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-201
204,Heat Detector,4th Floor,Apartment 442,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-202
205,Horn,4th Floor,Apartment 442,TRUE,FALSE,FALSE,,,Pass,,,,Pass-203
206,Heat Detector,4th Floor,Apartment 440,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-204
207,Horn,4th Floor,Apartment 440,TRUE,FALSE,FALSE,,,Pass,,,,Pass-205
